,before,after
33926,DEP,dep
33927,CTL,ctl
33928,ISSUED,issu
33929,A,A
33930,L,L
33931,TURN,turn
33932,TO,TO
33933,330,330
33934,DEG,deg
33935,AT,AT
33936,WHICH,which
33937,TIME,time
33938,WE,WE
33939,EXPLAINED,explain
33940,WE,WE
33941,WERE,were
33942,MAINTAINING,maintain
33943,A,A
33944,075,075
33945,DEG,deg
33946,HDG,hdg
33947,AND,and
33948,LOOKING,look
33949,FOR,for
33950,TFC,tfc
33951,.,.
33952,SHORTLY,shortli
33953,THEREAFTER,thereaft
33954,WE,WE
33955,ASKED,ask
33956,FOR,for
33957,AND,and
33958,RECEIVED,receiv
33959,A,A
33960,CLRNC,clrnc
33961,FOR,for
33962,A,A
33963,R,R
33964,TURN,turn
33965,TO,TO
33966,330,330
33967,DEG,deg
33968,TO,TO
33969,AVOID,avoid
33970,THE,the
33971,TFC,tfc
33972,ON,ON
33973,OUR,our
33974,L.,L.
33975,AT,AT
33976,APPROX,approx
33977,120-130,120-130
33978,DEG,deg
33979,HDG,hdg
33980,AND,and
33981,CLBING,clbing
33982,THROUGH,through
33983,5500,5500
33984,FT,FT
33985,;,;
33986,TCAS,tca
33987,ISSUED,issu
33988,AN,AN
33989,RA,RA
33990,TO,TO
33991,DSND,dsnd
33992,AT,AT
33993,A,A
33994,RATE,rate
33995,OF,OF
33996,2500-3000,2500-3000
33997,FPM,fpm
33998,FOR,for
33999,TFC,tfc
34000,AT,AT
34001,12,12
34002,O'CLOCK,o'clock
34003,.,.
34004,BDL,bdl
34005,DEP,dep
34006,TOLD,told
34007,US,US
34008,TO,TO
34009,STOP,stop
34010,OUR,our
34011,CLB,clb
34012,AT,AT
34013,6000,6000
34014,FT,FT
34015,FOR,for
34016,A,A
34017,JUMPER,jumper
34018,ACFT,acft
34019,Y.,Y.
34020,DSCNT,dscnt
34021,WAS,wa
34022,COMMENCED,commenc
34023,AS,AS
34024,PER,per
34025,TCAS,tca
34026,AND,and
34027,VISUAL,visual
34028,CONTACT,contact
34029,WAS,wa
34030,ESTABLISHED,establish
34031,WITH,with
34032,THE,the
34033,ACFT,acft
34034,AT,AT
34035,10,10
34036,O'CLOCK,o'clock
34037,OVERHEAD,overhead
34038,.,.
34039,WE,WE
34040,DSNDED,dsnded
34041,TO,TO
34042,5000,5000
34043,FT,FT
34044,;,;
34045,CONTINUED,continu
34046,OUR,our
34047,R,R
34048,TURN,turn
34049,AND,and
34050,TFC,tfc
34051,PASSED,pass
34052,TO,TO
34053,OUR,our
34054,8,8
34055,O'CLOCK,o'clock
34056,OVERHEAD,overhead
34057,.,.
34058,THIS,thi
34059,RA,RA
34060,WITH,with
34061,KNOWN,known
34062,TFC,tfc
34063,IN,IN
34064,RADAR,radar
34065,CONTACT,contact
34066,WITH,with
34067,BDL,bdl
34068,WOULD,would
34069,PROBABLY,probabl
34070,NOT,not
34071,HAVE,have
34072,OCCURRED,occur
34073,IF,IF
34074,INITIAL,initi
34075,TFC,tfc
34076,THAT,that
34077,WAS,wa
34078,NEVER,never
34079,VISUALLY,visual
34080,IDENTED,ident
34081,WOULD,would
34082,HAVE,have
34083,HAD,had
34084,MODE,mode
34085,C.,C.
34086,ALTHOUGH,although
34087,THE,the
34088,NON,non
34089,ALT,alt
34090,RPTING,rpting
34091,TFC,tfc
34092,WAS,wa
34093,PROBABLY,probabl
34094,BELOW,below
34095,1000,1000
34096,AGL,agl
34097,FLYING,fli
34098,UP,UP
34099,THE,the
34100,CT,CT
34101,RIVER,river
34102,;,;
34103,WE,WE
34104,COULD,could
34105,NOT,not
34106,ASSUME,assum
34107,THAT,that
34108,.,.
34109,IF,IF
34110,HE,HE
34111,HAD,had
34112,MODE,mode
34113,C,C
34114,WOULD,would
34115,COULD,could
34116,HAVE,have
34117,USED,use
34118,VERT,vert
34119,SEPARATION,separ
34120,AND,and
34121,NOT,not
34122,A,A
34123,VECTOR,vector
34124,AWAY,away
34125,FROM,from
34126,TFC,tfc
34127,.,.
34128,SUPPLEMENTAL,supplement
34129,INFO,info
34130,FROM,from
34131,ACN,acn
34132,181908,181908
34133,:,:
34134,ACR,acr
34135,X,X
34136,WAS,wa
34137,ISSUED,issu
34138,A,A
34139,L,L
34140,TURN,turn
34141,TO,TO
34142,330,330
34143,DEG,deg
34144,AT,AT
34145,WHICH,which
34146,TIME,time
34147,WE,WE
34148,EXPLAINED,explain
34149,WE,WE
34150,WERE,were
34151,MAINTAINING,maintain
34152,A,A
34153,075,075
34154,DEG,deg
34155,HDG,hdg
34156,AND,and
34157,LOOKING,look
34158,FOR,for
34159,TFC,tfc
34160,TO,TO
34161,OUR,our
34162,L.,L.
34163,SHORTLY,shortli
34164,THEREAFTER,thereaft
34165,WE,WE
34166,ASKED,ask
34167,FOR,for
34168,AND,and
34169,RECEIVED,receiv
34170,A,A
34171,CLRNC,clrnc
34172,FOR,for
34173,A,A
34174,R,R
34175,TURN,turn
34176,TO,TO
34177,330,330
34178,DEG,deg
34179,;,;
34180,TO,TO
34181,AVOID,avoid
34182,THE,the
34183,TCAS,tca
34184,TA,TA
34185,ON,ON
34186,OUR,our
34187,L.,L.
34188,WHILE,while
34189,TURNING,turn
34190,R,R
34191,AND,and
34192,ACCELERATING,acceler
34193,;,;
34194,OUR,our
34195,TCAS,tca
34196,ISSUED,issu
34197,ACFT,acft
34198,Y,Y
34199,TA,TA
34200,AND,and
34201,AT,AT
34202,THE,the
34203,SAME,same
34204,TIME,time
34205,DEP,dep
34206,CTL,ctl
34207,ALSO,also
34208,WARNED,warn
34209,US,US
34210,OF,OF
34211,THIS,thi
34212,ACFT,acft
34213,Y,Y
34214,IN,IN
34215,OUR,our
34216,VICINITY,vicin
34217,(,(
34218,AN,AN
34219,ACFT,acft
34220,USED,use
34221,FOR,for
34222,PARACHUTE,parachut
34223,JUMPING,jump
34224,),)
34225,AND,and
34226,TOLD,told
34227,US,US
34228,TO,TO
34229,KEEP,keep
34230,THE,the
34231,TURN,turn
34232,TIGHT,tight
34233,.,.
34234,ALMOST,almost
34235,IMMEDIATELY,immedi
34236,OUR,our
34237,TCAS,tca
34238,ISSUED,issu
34239,AN,AN
34240,RA,RA
34241,(,(
34242,RESOLUTION,resolut
34243,ADVISORY,advisori
34244,),)
34245,AND,and
34246,THE,the
34247,AUDIO,audio
34248,COMMAND,command
34249,'DSND,'dsnd
34250,','
34251,AT,AT
34252,2500-3000,2500-3000
34253,FPM,fpm
34254,RATE,rate
34255,.,.
34256,ALSO,also
34257,AT,AT
34258,THIS,thi
34259,TIME,time
34260,VISUAL,visual
34261,CONTACT,contact
34262,WAS,wa
34263,ESTABLISHED,establish
34264,WITH,with
34265,AN,AN
34266,ACFT,acft
34267,AT,AT
34268,OUR,our
34269,10,10
34270,O'CLOCK,o'clock
34271,DSNDING,dsnding
34272,RAPIDLY,rapidli
34273,.,.
34274,(,(
34275,WE,WE
34276,WERE,were
34277,IN,IN
34278,A,A
34279,30,30
34280,DEG,deg
34281,ANGLE,angl
34282,OF,OF
34283,BANK,bank
34284,R,R
34285,TURN,turn
34286,PASSING,pass
34287,THROUGH,through
34288,A,A
34289,HDG,hdg
34290,OF,OF
34291,APPROX,approx
34292,130,130
34293,DEG,deg
34294,.,.
34295,),)
34296,ALSO,also
34297,AT,AT
34298,THIS,thi
34299,TIME,time
34300,DEP,dep
34301,CTL,ctl
34302,TOLD,told
34303,US,US
34304,TO,TO
34305,STOP,stop
34306,OUR,our
34307,CLB,clb
34308,AT,AT
34309,6000,6000
34310,FT,FT
34311,FOR,for
34312,THIS,thi
34313,TFC,tfc
34314,.,.
34315,OUR,our
34316,ALT,alt
34317,WAS,wa
34318,APPROX,approx
34319,5300,5300
34320,FT,FT
34321,MSL,msl
34322,WHEN,when
34323,WE,WE
34324,INITIATED,initi
34325,A,A
34326,DSCNT,dscnt
34327,IN,IN
34328,RESPONSE,respons
34329,TO,TO
34330,TCAS,tca
34331,RA,RA
34332,INPUT,input
34333,.,.
34334,AS,AS
34335,WE,WE
34336,CONTINUED,continu
34337,OUR,our
34338,TURN,turn
34339,TO,TO
34340,330,330
34341,DEGS,deg
34342,;,;
34343,THE,the
34344,RA,RA
34345,ACFT,acft
34346,CLRED,clred
34347,US,US
34348,AT,AT
34349,OUR,our
34350,8,8
34351,O'CLOCK,o'clock
34352,STILL,still
34353,DSNDING,dsnding
34354,RAPIDLY,rapidli
34355,.,.
34356,THE,the
34357,TIGHT,tight
34358,TURN,turn
34359,RESOLVED,resolv
34360,THIS,thi
34361,CONFLICT,conflict
34362,.,.
34363,NMAC,nmac
34364,.,.
34365,AT,AT
34366,ABOUT,about
34367,AM:15,am:15
34368,;,;
34369,WE,WE
34370,WERE,were
34371,CLBING,clbing
34372,OUT,out
34373,OF,OF
34374,HYNNIS,hynni
34375,ON,ON
34376,A,A
34377,HDG,hdg
34378,OF,OF
34379,300,300
34380,DEGS,deg
34381,TO,TO
34382,INTERCEPT,intercept
34383,THE,the
34384,NANTUCKET,nantucket
34385,341,341
34386,DEG,deg
34387,R,R
34388,ENRTE,enrt
34389,TO,TO
34390,BOS,bo
34391,.,.
34392,AT,AT
34393,THE,the
34394,TIME,time
34395,;,;
34396,WE,WE
34397,WERE,were
34398,ALMOST,almost
34399,ON,ON
34400,THE,the
34401,RADIAL,radial
34402,HDG,hdg
34403,ABOUT,about
34404,330,330
34405,DEGS,deg
34406,.,.
34407,WE,WE
34408,HAD,had
34409,JUST,just
34410,FINISHED,finish
34411,THE,the
34412,CLB,clb
34413,CHKLIST,chklist
34414,.,.
34415,OCEAN,ocean
34416,APCH,apch
34417,TOLD,told
34418,US,US
34419,THAT,that
34420,WE,WE
34421,HAD,had
34422,TFC,tfc
34423,1,1
34424,1/2,1/2
34425,MI,MI
34426,AT,AT
34427,9,9
34428,O'CLOCK,o'clock
34429,;,;
34430,TYPE,type
34431,AND,and
34432,ALT,alt
34433,UNKNOWN,unknown
34434,.,.
34435,WHILE,while
34436,SEARCHING,search
34437,IN,IN
34438,THE,the
34439,9-11,9-11
34440,O'CLOCK,o'clock
34441,;,;
34442,WE,WE
34443,SAW,saw
34444,ANOTHER,anoth
34445,COMPANY,compani
34446,.,.
34447,LTT,ltt
34448,AT,AT
34449,OUR,our
34450,12,12
34451,O'CLOCK,o'clock
34452,;,;
34453,ABOUT,about
34454,50,50
34455,','
34456,ABOVE,abov
34457,US,US
34458,AND,and
34459,MUCH,much
34460,LESS,less
34461,THAN,than
34462,1/4,1/4
34463,MI,MI
34464,.,.
34465,THE,the
34466,F/O,f/o
34467,TRIED,tri
34468,EVASIVE,evas
34469,ACTION,action
34470,BUT,but
34471,THE,the
34472,ACFT,acft
34473,WAS,wa
34474,WELL,well
34475,CLR,clr
34476,BY,BY
34477,THE,the
34478,TIME,time
34479,.,.
34480,AS,AS
34481,I,I
34482,THINK,think
34483,OF,OF
34484,THE,the
34485,SIZE,size
34486,OF,OF
34487,THE,the
34488,ACFT,acft
34489,IN,IN
34490,THE,the
34491,WINDOW,window
34492,;,;
34493,IT,IT
34494,MUST,must
34495,HAVE,have
34496,BEEN,been
34497,100-200,100-200
34498,','
34499,AWAY,away
34500,AT,AT
34501,MOST,most
34502,!,!
34503,I,I
34504,'M,'M
34505,GUESSING,guess
34506,THAT,that
34507,HE,HE
34508,WAS,wa
34509,VFR,vfr
34510,AND,and
34511,MAY,may
34512,HAVE,have
34513,BEEN,been
34514,IN,IN
34515,CONTACT,contact
34516,WITH,with
34517,HYANNIS,hyanni
34518,TWR,twr
34519,.,.
34520,I,I
34521,THANK,thank
34522,THE,the
34523,LORD,lord
34524,I,I
34525,'M,'M
34526,STILL,still
34527,HERE,here
34528,!,!
34529,ALTHOUGH,although
34530,I,I
34531,'M,'M
34532,AGAINST,against
34533,INDISCRIMINATE,indiscrimin
34534,PROLIFERATION,prolifer
34535,OF,OF
34536,ARSA,arsa
34537,'S,'S
34538,AND,and
34539,TCA,tca
34540,'S,'S
34541,;,;
34542,BUSIER,busier
34543,ARPTS,arpt
34544,NEED,need
34545,POSITIVE,posit
34546,SEP.,sep.
34547,2,2
34548,ACFT,acft
34549,TRAVELING,travel
34550,250,250
34551,KTS,kt
34552,EACH,each
34553,ON,ON
34554,A,A
34555,COLLISION,collis
34556,COURSE,cours
34557,GIVE,give
34558,A,A
34559,PLT,plt
34560,LITTLE,littl
34561,TIME,time
34562,TO,TO
34563,SEE,see
34564,THE,the
34565,OTHER,other
34566,ACFT,acft
34567,.,.
34568,INCOMPLETE,incomplet
34569,FLT,flt
34570,PLAN,plan
34571,INFO,info
34572,PLACED,place
34573,IN,IN
34574,COMPUTER,comput
34575,ON,ON
34576,SMA,sma
34577,;,;
34578,HDOF,hdof
34579,INFO,info
34580,TO,TO
34581,APCH,apch
34582,CTL,ctl
34583,MISLEADING,mislead
34584,CAUSING,caus
34585,LTSS,ltss
34586,WITH,with
34587,SMT,smt
34588,CLBING,clbing
34589,THROUGH,through
34590,SMA,sma
34591,ALT,alt
34592,.,.
34593,SMA,sma
34594,CAM,cam
34595,V490,v490
34596,MHT,mht
34597,WAS,wa
34598,VFR,vfr
34599,AND,and
34600,HANDED,hand
34601,OFF,off
34602,TO,TO
34603,ME,ME
34604,VFR,vfr
34605,ON,ON
34606,THE,the
34607,E,E
34608,EDGE,edg
34609,OF,OF
34610,ALB,alb
34611,APCH,apch
34612,AIRSPACE,airspac
34613,.,.
34614,THE,the
34615,SMA,sma
34616,REQUESTED,request
34617,IFR,ifr
34618,INSIDE,insid
34619,THE,the
34620,GDM,gdm
34621,SECTOR,sector
34622,AIRSPACE,airspac
34623,AND,and
34624,ASKED,ask
34625,FOR,for
34626,LOWER,lower
34627,.,.
34628,I,I
34629,ISSUED,issu
34630,HIM,him
34631,AN,AN
34632,IFR,ifr
34633,CLRNC,clrnc
34634,.,.
34635,I,I
34636,INSERTED,insert
34637,A,A
34638,TEMPORARY,temporari
34639,(,(
34640,T,T
34641,),)
34642,ALT,alt
34643,IN,IN
34644,THE,the
34645,COMPUTER,comput
34646,AND,and
34647,MY,MY
34648,'D,'D
34649,','
34650,CTLR,ctlr
34651,PUT,put
34652,HIM,him
34653,IN,IN
34654,THE,the
34655,COMPUTER,comput
34656,WITH,with
34657,A,A
34658,6,6
34659,;,;
34660,7,7
34661,;,;
34662,10,10
34663,AMENDMENT,amend
34664,.,.
34665,THE,the
34666,SMA,sma
34667,WAS,wa
34668,HANDED,hand
34669,OFF,off
34670,TO,TO
34671,MHT,mht
34672,APCH,apch
34673,CTL,ctl
34674,10,10
34675,NM,NM
34676,W,W
34677,OF,OF
34678,THEIR,their
34679,BOUNDARY,boundari
34680,USING,use
34681,THE,the
34682,COMPUTER,comput
34683,.,.
34684,THE,the
34685,TEMPORARY,temporari
34686,ALT,alt
34687,DID,did
34688,NOT,not
34689,GENERATE,gener
34690,AN,AN
34691,IFR,ifr
34692,STRIP,strip
34693,TO,TO
34694,MHT,mht
34695,APCH,apch
34696,AND,and
34697,THEY,they
34698,THOUGHT,thought
34699,THAT,that
34700,THE,the
34701,SMA,sma
34702,WAS,wa
34703,VFR,vfr
34704,.,.
34705,SUBSEQUENT,subsequ
34706,TO,TO
34707,THE,the
34708,HDOF,hdof
34709,AN,AN
34710,ACR,acr
34711,SMT,smt
34712,WAS,wa
34713,HANDED,hand
34714,OFF,off
34715,TO,TO
34716,GDM,gdm
34717,SECTOR,sector
34718,WBOUND,wbound
34719,ON,ON
34720,A,A
34721,290,290
34722,DEG,deg
34723,HDG,hdg
34724,CLBING,clbing
34725,TO,TO
34726,8000,8000
34727,.,.
34728,THE,the
34729,CONFLICT,conflict
34730,ALERT,alert
34731,WAS,wa
34732,ACTIVATED,activ
34733,;,;
34734,HOWEVER,howev
34735,;,;
34736,I,I
34737,WAS,wa
34738,NOT,not
34739,CONCERNED,concern
34740,BECAUSE,becaus
34741,IT,IT
34742,IS,IS
34743,COMMON,common
34744,TO,TO
34745,HAVE,have
34746,2,2
34747,ACFT,acft
34748,LOSE,lose
34749,CENTER,center
34750,SEPARATION,separ
34751,CRITERIA,criteria
34752,WHEN,when
34753,THEY,they
34754,ARE,are
34755,INSIDE,insid
34756,APCH,apch
34757,CTL,ctl
34758,'S,'S
34759,AIRSPACE,airspac
34760,.,.
34761,TCAS,tca
34762,RA,RA
34763,DICTATED,dictat
34764,CLB,clb
34765,TO,TO
34766,AVOID,avoid
34767,TFC,tfc
34768,.,.
34769,OUR,our
34770,ACFT,acft
34771,WAS,wa
34772,EQUIPPED,equip
34773,WITH,with
34774,TCAS,tca
34775,AND,and
34776,WHILE,while
34777,LEVELING,level
34778,AT,AT
34779,10000,10000
34780,FT,FT
34781,MSL,msl
34782,DURING,dure
34783,A,A
34784,DSCNT,dscnt
34785,WE,WE
34786,GOT,got
34787,A,A
34788,RESOLUTION,resolut
34789,ADVISORY,advisori
34790,ON,ON
34791,TFC,tfc
34792,500,500
34793,FT,FT
34794,BELOW,below
34795,US,US
34796,AND,and
34797,TO,TO
34798,THE,the
34799,R.,R.
34800,TCAS,tca
34801,CALLED,call
34802,FOR,for
34803,A,A
34804,CLB,clb
34805,WHICH,which
34806,THE,the
34807,CAPT,capt
34808,DID,did
34809,.,.
34810,PASSING,pass
34811,10800,10800
34812,THE,the
34813,TCAS,tca
34814,SHOWED,show
34815,CLR,clr
34816,OF,OF
34817,TFC,tfc
34818,AND,and
34819,WE,WE
34820,STARTED,start
34821,A,A
34822,DSCNT,dscnt
34823,BACK,back
34824,DOWN,down
34825,TO,TO
34826,OUR,our
34827,ASSIGNED,assign
34828,ALT,alt
34829,OF,OF
34830,10000,10000
34831,FT,FT
34832,.,.
34833,I,I
34834,MADE,made
34835,A,A
34836,CALL,call
34837,TO,TO
34838,ATC,atc
34839,DURING,dure
34840,THIS,thi
34841,TO,TO
34842,ADVISE,advis
34843,THEM,them
34844,OF,OF
34845,OUR,our
34846,RA,RA
34847,AND,and
34848,OUR,our
34849,CLB,clb
34850,TO,TO
34851,AVOID,avoid
34852,TFC,tfc
34853,.,.
34854,AT,AT
34855,THIS,thi
34856,TIME,time
34857,I,I
34858,NOTICED,notic
34859,THE,the
34860,CAPT,capt
34861,HAD,had
34862,DSNDED,dsnded
34863,THROUGH,through
34864,10000,10000
34865,FT,FT
34866,PASSING,pass
34867,9600,9600
34868,FT,FT
34869,.,.
34870,I,I
34871,ALERTED,alert
34872,HIM,him
34873,TO,TO
34874,CLB,clb
34875,BACK,back
34876,TO,TO
34877,10000,10000
34878,FT,FT
34879,.,.
34880,CPR,cpr
34881,OVERTAKES,overtak
34882,SMA,sma
34883,JUST,just
34884,ENTERING,enter
34885,ATA,ata
34886,.,.
34887,NO,NO
34888,TFC,tfc
34889,ADVISORIES,advisori
34890,.,.
34891,APCH,apch
34892,CTL,ctl
34893,126.95,126.95
34894,ASKED,ask
34895,ME,ME
34896,TO,TO
34897,STAY,stay
34898,AT,AT
34899,4500,4500
34900,FT,FT
34901,UNTIL,until
34902,8,8
34903,MI,MI
34904,FROM,from
34905,BDR,bdr
34906,SO,SO
34907,AS,AS
34908,TO,TO
34909,ACCOMMODATE,accommod
34910,THE,the
34911,NEW,new
34912,HAVEN,haven
34913,ATA,ata
34914,.,.
34915,AT,AT
34916,THAT,that
34917,POINT,point
34918,I,I
34919,WAS,wa
34920,CLRED,clred
34921,TO,TO
34922,DSND,dsnd
34923,AND,and
34924,TOLD,told
34925,TO,TO
34926,CONTACT,contact
34927,BRIDGEPORT,bridgeport
34928,TWR,twr
34929,.,.
34930,THE,the
34931,TWR,twr
34932,CTLR,ctlr
34933,TOLD,told
34934,ME,ME
34935,TO,TO
34936,RPT,rpt
34937,R,R
34938,DOWNWIND,downwind
34939,FOR,for
34940,RWY,rwi
34941,6,6
34942,.,.
34943,WHEN,when
34944,I,I
34945,WAS,wa
34946,APPROX,approx
34947,4-5,4-5
34948,MI,MI
34949,OUT,out
34950,AND,and
34951,APPROX,approx
34952,2500,2500
34953,+/-,+/-
34954,FT,FT
34955,ONE,one
34956,OF,OF
34957,MY,MY
34958,PAXS,pax
34959,HOLLERED,holler
34960,THAT,that
34961,A,A
34962,PLANE,plane
34963,WAS,wa
34964,COMING,come
34965,AT,AT
34966,US,US
34967,.,.
34968,I,I
34969,DID,did
34970,NOT,not
34971,TAKE,take
34972,IMMEDIATE,immedi
34973,ACTION,action
34974,BECAUSE,becaus
34975,I,I
34976,DID,did
34977,N'T,n't
34978,KNOW,know
34979,WHERE,where
34980,THE,the
34981,PLANE,plane
34982,WAS,wa
34983,.,.
34984,WITHIN,within
34985,A,A
34986,COUPLE,coupl
34987,OF,OF
34988,SECONDS,second
34989,I,I
34990,SAW,saw
34991,A,A
34992,CPR,cpr
34993,PLANE,plane
34994,DSNDING,dsnding
34995,FROM,from
34996,BEHIND,behind
34997,ME,ME
34998,AND,and
34999,TO,TO
35000,MY,MY
35001,R,R
35002,AND,and
35003,I,I
35004,TOOK,took
35005,EVASIVE,evas
35006,ACTION,action
35007,TO,TO
35008,THE,the
35009,L.,L.
35010,MY,MY
35011,BEACON,beacon
35012,AND,and
35013,STROBES,strobe
35014,WERE,were
35015,ON,ON
35016,AT,AT
35017,THE,the
35018,TIME,time
35019,.,.
35020,I,I
35021,AM,AM
35022,NOT,not
35023,SURE,sure
35024,WHY,whi
35025,THE,the
35026,CPR,cpr
35027,DID,did
35028,NOT,not
35029,SEE,see
35030,ME,ME
35031,.,.
35032,I,I
35033,DID,did
35034,NOT,not
35035,HEAR,hear
35036,THE,the
35037,TWR,twr
35038,TALK,talk
35039,TO,TO
35040,HIM,him
35041,AFTER,after
35042,I,I
35043,CONTACTED,contact
35044,THEM,them
35045,ALTHOUGH,although
35046,THEY,they
35047,MAY,may
35048,HAVE,have
35049,.,.
35050,THE,the
35051,TWR,twr
35052,DID,did
35053,NOT,not
35054,WARN,warn
35055,ME,ME
35056,OF,OF
35057,HIM,him
35058,AND,and
35059,I,I
35060,DO,DO
35061,N'T,n't
35062,BELIEVE,believ
35063,ANYONE,anyon
35064,WARNED,warn
35065,HIM,him
35066,OF,OF
35067,ME,ME
35068,;,;
35069,BUT,but
35070,BECAUSE,becaus
35071,OF,OF
35072,THE,the
35073,RECENT,recent
35074,CHANGE,chang
35075,OF,OF
35076,FREQS,freq
35077,I,I
35078,CA,CA
35079,N'T,n't
35080,BE,BE
35081,SURE,sure
35082,OF,OF
35083,THAT,that
35084,.,.
35085,THIS,thi
35086,INCIDENT,incid
35087,OCCURRED,occur
35088,IN,IN
35089,CLOSE,close
35090,PROX,prox
35091,TO,TO
35092,THE,the
35093,TIME,time
35094,I,I
35095,CHANGED,chang
35096,FREQS,freq
35097,;,;
35098,WHICH,which
35099,I,I
35100,SUSPECT,suspect
35101,WAS,wa
35102,A,A
35103,CONTRIBUTING,contribut
35104,FACTOR,factor
35105,.,.
35106,I,I
35107,BELIEVE,believ
35108,SOMEONE,someon
35109,SHOULD,should
35110,HAVE,have
35111,THE,the
35112,PLTS,plt
35113,OF,OF
35114,THE,the
35115,EXISTENCE,exist
35116,OF,OF
35117,THE,the
35118,OTHER,other
35119,PLANE,plane
35120,.,.
35121,HAD,had
35122,I,I
35123,NOT,not
35124,HAD,had
35125,A,A
35126,PAX,pax
35127,FACING,face
35128,BACKWARDS,backward
35129,I,I
35130,MIGHT,might
35131,NOT,not
35132,HAVE,have
35133,KNOWN,known
35134,OF,OF
35135,THE,the
35136,EXISTENCE,exist
35137,OF,OF
35138,THE,the
35139,CPR,cpr
35140,UNTIL,until
35141,AFTER,after
35142,HE,HE
35143,PASSED,pass
35144,.,.
35145,I,I
35146,'M,'M
35147,NOT,not
35148,SURE,sure
35149,WHAT,what
35150,COULD,could
35151,BE,BE
35152,DONE,done
35153,TO,TO
35154,AVOID,avoid
35155,THIS,thi
35156,BECAUSE,becaus
35157,I,I
35158,DO,DO
35159,N'T,n't
35160,KNOW,know
35161,WHAT,what
35162,WAS,wa
35163,SAID,said
35164,TO,TO
35165,THE,the
35166,OTHER,other
35167,PLANE,plane
35168,.,.
35169,BUT,but
35170,IF,IF
35171,HE,HE
35172,CAME,came
35173,FROM,from
35174,BEHIND,behind
35175,ME,ME
35176,AND,and
35177,SINCE,sinc
35178,HE,HE
35179,WAS,wa
35180,MUCH,much
35181,FASTER,faster
35182,THAN,than
35183,ME,ME
35184,I,I
35185,THINK,think
35186,APCH,apch
35187,SHOULD,should
35188,HAVE,have
35189,WARNED,warn
35190,HIM,him
35191,OF,OF
35192,MY,MY
35193,PRESENCE,presenc
35194,BEFORE,befor
35195,HANDING,hand
35196,HIM,him
35197,OFF,off
35198,TO,TO
35199,THE,the
35200,TWR,twr
35201,.,.
35202,I,I
35203,BELIEVE,believ
35204,HE,HE
35205,APCHED,apch
35206,ON,ON
35207,A,A
35208,BASE,base
35209,LEG,leg
35210,;,;
35211,IF,IF
35212,SO,SO
35213,;,;
35214,THEY,they
35215,COULD,could
35216,HAVE,have
35217,VECTORED,vector
35218,HIM,him
35219,FOR,for
35220,A,A
35221,STRAIGHT-IN,straight-in
35222,OR,OR
35223,DOWNWIND,downwind
35224,APCH,apch
35225,.,.
35226,PLT,plt
35227,OF,OF
35228,SMA,sma
35229,ON,ON
35230,TFC,tfc
35231,WATCH,watch
35232,HAD,had
35233,NMAC,nmac
35234,WITH,with
35235,HELI,heli
35236,.,.
35237,3,3
35238,MI,MI
35239,AFTER,after
35240,CLRING,clring
35241,THE,the
35242,NEW,new
35243,HAVEN,haven
35244,ATA,ata
35245,TO,TO
35246,THE,the
35247,N,N
35248,;,;
35249,I,I
35250,STARTED,start
35251,A,A
35252,TURN,turn
35253,BACK,back
35254,TO,TO
35255,THE,the
35256,S,S
35257,(,(
35258,180,180
35259,DEG,deg
35260,TURN,turn
35261,IS,IS
35262,MADE,made
35263,BY,BY
35264,DOING,do
35265,2,2
35266,90,90
35267,DEG,deg
35268,TURNS,turn
35269,SO,SO
35270,THAT,that
35271,ACFT,acft
35272,IS,IS
35273,ALWAYS,alway
35274,TO,TO
35275,THE,the
35276,L,L
35277,OF,OF
35278,ROADS,road
35279,BEING,be
35280,OBSERVED,observ
35281,),)
35282,.,.
35283,AFTER,after
35284,FIRST,first
35285,90,90
35286,DEG,deg
35287,TURN,turn
35288,;,;
35289,A,A
35290,HELI,heli
35291,CAME,came
35292,INTO,into
35293,VIEW,view
35294,ABOUT,about
35295,THE,the
35296,SAME,same
35297,TIME,time
35298,AS,AS
35299,WE,WE
35300,GOT,got
35301,LEVEL,level
35302,.,.
35303,HELI,heli
35304,WAS,wa
35305,SOON,soon
35306,PASSING,pass
35307,IN,IN
35308,FRONT,front
35309,OF,OF
35310,MY,MY
35311,ACFT,acft
35312,ABOUT,about
35313,200-300,200-300
35314,FT,FT
35315,AWAY,away
35316,.,.
35317,NO,NO
35318,ACTION,action
35319,WAS,wa
35320,TAKEN,taken
35321,BY,BY
35322,EITHER,either
35323,PLT,plt
35324,.,.
35325,THE,the
35326,HELI,heli
35327,'S,'S
35328,HIGH,high
35329,SPEED,speed
35330,WOULD,would
35331,HAVE,have
35332,MADE,made
35333,A,A
35334,COLLISION,collis
35335,IMPOSSIBLE,imposs
35336,WITH,with
35337,THE,the
35338,DISTANCE/FLT,distance/flt
35339,PATH,path
35340,OF,OF
35341,BOTH,both
35342,ACFT,acft
35343,.,.
35344,BOTH,both
35345,PLT,plt
35346,AND,and
35347,TFC,tfc
35348,RPTR,rptr
35349,WERE,were
35350,LOOKING,look
35351,IN,IN
35352,THE,the
35353,DIRECTION,direct
35354,THAT,that
35355,THE,the
35356,HELI,heli
35357,CAME,came
35358,FROM,from
35359,AND,and
35360,SAW,saw
35361,NOTHING,noth
35362,UNTIL,until
35363,BOTH,both
35364,ACFT,acft
35365,WERE,were
35366,CLOSE,close
